"REF_DATE","GEO","DGUID","Type of structure","Type of work","Variables","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Canada","2016A000011124","Major single dwelling  projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749513","1.8.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121295314","1.9.1.1.1","120472",,,,"0"
"2020-04","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121295314","1.9.1.1.1","124275",,,,"0"
"2020-03","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853681","1.9.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853681","1.9.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121295322","1.9.1.5.1","7972",,,,"0"
"2020-04","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121295322","1.9.1.5.1","10501",,,,"0"
"2020-03","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749530","1.9.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749530","1.9.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Single total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121295554","1.10.1.1.1","1821853",,,,"0"
"2020-04","Canada","2016A000011124","Single total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121295554","1.10.1.1.1","1452711",,,,"0"
"2020-03","Canada","2016A000011124","Single total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853686","1.10.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Single total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853686","1.10.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Single total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121295562","1.10.1.5.1","6404",,,,"0"
"2020-04","Canada","2016A000011124","Single total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121295562","1.10.1.5.1","5319",,,,"0"
"2020-03","Canada","2016A000011124","Single total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749535","1.10.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Single total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749535","1.10.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Mobile home","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296274","1.13.1.1.1","6388",,,,"0"
"2020-04","Canada","2016A000011124","Mobile home","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296274","1.13.1.1.1","6531",,,,"0"
"2020-03","Canada","2016A000011124","Mobile home","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853737","1.13.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Mobile home","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853737","1.13.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Mobile home","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121296282","1.13.1.5.1","47",,,,"0"
"2020-04","Canada","2016A000011124","Mobile home","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121296282","1.13.1.5.1","55",,,,"0"
"2020-03","Canada","2016A000011124","Mobile home","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749586","1.13.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Mobile home","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749586","1.13.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Cottage","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296514","1.14.1.1.1","20793",,,,"0"
"2020-04","Canada","2016A000011124","Cottage","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296514","1.14.1.1.1","18933",,,,"0"
"2020-03","Canada","2016A000011124","Cottage","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853747","1.14.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Cottage","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853747","1.14.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Cottage","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121296522","1.14.1.5.1","108",,,,"0"
"2020-04","Canada","2016A000011124","Cottage","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121296522","1.14.1.5.1","85",,,,"0"
"2020-03","Canada","2016A000011124","Cottage","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749596","1.14.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Cottage","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749596","1.14.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296754","1.15.1.1.1","2315512",,,,"0"
"2020-04","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296754","1.15.1.1.1","2344944",,,,"0"
"2020-03","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853759","1.15.1.1.3","1903110",,,,"0"
"2020-04","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853759","1.15.1.1.3","1877220",,,,"0"
"2020-03","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121296762","1.15.1.5.1","5065",,,,"0"
"2020-04","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121296762","1.15.1.5.1","4146",,,,"0"
"2020-03","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749608","1.15.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749608","1.15.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296994","1.16.1.1.1","2296359",,,,"0"
"2020-04","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121296994","1.16.1.1.1","2331827",,,,"0"
"2020-03","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853778","1.16.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853778","1.16.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121297002","1.16.1.5.1","3782",,,,"0"
"2020-04","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121297002","1.16.1.5.1","3121",,,,"0"
"2020-03","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749627","1.16.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749627","1.16.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121297234","1.17.1.1.1","19154",,,,"0"
"2020-04","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121297234","1.17.1.1.1","13117",,,,"0"
"2020-03","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853797","1.17.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853797","1.17.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121297242","1.17.1.5.1","1283",,,,"0"
"2020-04","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121297242","1.17.1.5.1","1025",,,,"0"
"2020-03","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749646","1.17.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749646","1.17.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Double total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121297474","1.18.1.1.1","190148",,,,"0"
"2020-04","Canada","2016A000011124","Double total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121297474","1.18.1.1.1","134106",,,,"0"
"2020-03","Canada","2016A000011124","Double total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853802","1.18.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Double total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853802","1.18.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Double total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121297482","1.18.1.5.1","824",,,,"0"
"2020-04","Canada","2016A000011124","Double total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121297482","1.18.1.5.1","568",,,,"0"
"2020-03","Canada","2016A000011124","Double total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749651","1.18.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Double total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271749651","1.18.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Row total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121298194","1.21.1.1.1","382314",,,,"0"
"2020-04","Canada","2016A000011124","Row total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121298194","1.21.1.1.1","298061",,,,"0"
"2020-03","Canada","2016A000011124","Row total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853856","1.21.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Row total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853856","1.21.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Row total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121298202","1.21.1.5.1","962",,,,"0"
"2020-04","Canada","2016A000011124","Row total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121298202","1.21.1.5.1","849",,,,"0"
"2020-03","Canada","2016A000011124","Row total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764110","1.21.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Row total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764110","1.21.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Apartment total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121298914","1.24.1.1.1","1723897",,,,"0"
"2020-04","Canada","2016A000011124","Apartment total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121298914","1.24.1.1.1","1899660",,,,"0"
"2020-03","Canada","2016A000011124","Apartment total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853913","1.24.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Apartment total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853913","1.24.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Apartment total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121298922","1.24.1.5.1","1996",,,,"0"
"2020-04","Canada","2016A000011124","Apartment total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121298922","1.24.1.5.1","1704",,,,"0"
"2020-03","Canada","2016A000011124","Apartment total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764167","1.24.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Apartment total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764167","1.24.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121301074","1.33.1.1.1","2655095",,,,"0"
"2020-04","Canada","2016A000011124","Total non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121301074","1.33.1.1.1","1839910",,,,"0"
"2020-03","Canada","2016A000011124","Total non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853970","1.33.1.1.3","2225564",,,,"0"
"2020-04","Canada","2016A000011124","Total non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853970","1.33.1.1.3","1554399",,,,"0"
"2020-03","Canada","2016A000011124","Total non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121301082","1.33.1.5.1","4924",,,,"0"
"2020-04","Canada","2016A000011124","Total non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121301082","1.33.1.5.1","3632",,,,"0"
"2020-03","Canada","2016A000011124","Total non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764224","1.33.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764224","1.33.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total industrial","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121301794","1.36.1.1.1","564276",,,,"0"
"2020-04","Canada","2016A000011124","Total industrial","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121301794","1.36.1.1.1","333946",,,,"0"
"2020-03","Canada","2016A000011124","Total industrial","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854003","1.36.1.1.3","480036",,,,"0"
"2020-04","Canada","2016A000011124","Total industrial","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854003","1.36.1.1.3","282198",,,,"0"
"2020-03","Canada","2016A000011124","Total industrial","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121301802","1.36.1.5.1","1131",,,,"0"
"2020-04","Canada","2016A000011124","Total industrial","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121301802","1.36.1.5.1","1087",,,,"0"
"2020-03","Canada","2016A000011124","Total industrial","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764257","1.36.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total industrial","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764257","1.36.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total major industrial projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121302034","1.37.1.1.1","512664",,,,"0"
"2020-04","Canada","2016A000011124","Total major industrial projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121302034","1.37.1.1.1","279910",,,,"0"
"2020-03","Canada","2016A000011124","Total major industrial projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854017","1.37.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total major industrial projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854017","1.37.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total major industrial projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121302042","1.37.1.5.1","232",,,,"0"
"2020-04","Canada","2016A000011124","Total major industrial projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121302042","1.37.1.5.1","207",,,,"0"
"2020-03","Canada","2016A000011124","Total major industrial projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764271","1.37.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total major industrial projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764271","1.37.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121302274","1.38.1.1.1","51612",,,,"0"
"2020-04","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121302274","1.38.1.1.1","54036",,,,"0"
"2020-03","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854031","1.38.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854031","1.38.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121302282","1.38.1.5.1","899",,,,"0"
"2020-04","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121302282","1.38.1.5.1","880",,,,"0"
"2020-03","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764285","1.38.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total minor industrial projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764285","1.38.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Factories, plants","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121302514","1.39.1.1.1","258568",,,,"0"
"2020-04","Canada","2016A000011124","Factories, plants","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121302514","1.39.1.1.1","122835",,,,"0"
"2020-03","Canada","2016A000011124","Factories, plants","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854036","1.39.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Factories, plants","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854036","1.39.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Factories, plants","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121302522","1.39.1.5.1","90",,,,"0"
"2020-04","Canada","2016A000011124","Factories, plants","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121302522","1.39.1.5.1","69",,,,"0"
"2020-03","Canada","2016A000011124","Factories, plants","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764290","1.39.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Factories, plants","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271764290","1.39.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Transportation, utilities","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121303234","1.42.1.1.1","158942",,,,"0"
"2020-04","Canada","2016A000011124","Transportation, utilities","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121303234","1.42.1.1.1","68445",,,,"0"
"2020-03","Canada","2016A000011124","Transportation, utilities","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854078","1.42.1.1.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Transportation, utilities","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271854078","1.42.1.1.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Transportation, utilities","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121303242","1.42.1.5.1","53",,,,"0"
"2020-04","Canada","2016A000011124","Transportation, utilities","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121303242","1.42.1.5.1","36",,,,"0"
"2020-03","Canada","2016A000011124","Transportation, utilities","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271788319","1.42.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Transportation, utilities","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271788319","1.42.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Mining and agriculture","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121304194","1.46.1.1.1","95153",,,,"0"
"2020-04","Canada","2016A000011124","Mining and agriculture","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121304194","1.46.1.1.1","88630",,,,"0"
